price,brand,mile,old,engine,gear,seat,province,colour,fuel,post
379000.0,"Toyota,Yaris",87643.0,3,1197,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
875000.0,"Honda,Civic",6211.0,3,1498,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
899000.0,"Honda,Civic",16923.0,1,1498,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
4690000.0,"BMW,X5",7500.0,1,2993,A,5,กรุงเทพและปริมณฑล,ขาว,Diesel,0
2090000.0,"BMW,X5",127500.0,3,1995,A,5,กรุงเทพและปริมณฑล,น้ำตาล,Diesel,0
2550000.0,"BMW,520d",22500.0,2,1995,A,5,กรุงเทพและปริมณฑล,ขาว,Diesel,0
379000.0,"Suzuki,Ciaz",87500.0,3,1242,A,5,กรุงเทพและปริมณฑล,แดง,Petrol,0
419000.0,"Honda,Mobilio",252500.0,5,1497,A,7,กรุงเทพและปริมณฑล,เงิน,Petrol,0
455000.0,"Ford,Ranger",57500.0,2,2198,M,2,กรุงเทพและปริมณฑล,แดง,Diesel,0
359000.0,"Isuzu,D-Max",117500.0,6,2499,M,2,กรุงเทพและปริมณฑล,ขาว,Diesel,0
318000.0,"Nissan,Almera",35000.0,2,1198,A,5,กรุงเทพและปริมณฑล,แดง,Petrol,0
350000.0,"Nissan,Note",7500.0,3,1198,A,5,กรุงเทพและปริมณฑล,แดง,Petrol,0
379000.0,"Honda,City",52500.0,7,1497,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
289000.0,"Toyota,Corolla",2500.0,7,1598,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
199000.0,"Mazda,3",7500.0,9,1598,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
220000.0,"Toyota,Hilux",22500.0,16,2494,M,2,กรุงเทพและปริมณฑล,น้ำตาล,Diesel,0
399000.0,"Toyota,Hilux",2500.0,4,2393,M,2,กรุงเทพและปริมณฑล,ขาว,Diesel,0
385000.0,"Toyota,Fortuner",182500.0,13,2694,A,7,กรุงเทพและปริมณฑล,ทอง,Petrol,0
499000.0,"Toyota,Camry",2500.0,6,1998,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
320000.0,"Toyota,Hilux",192500.0,12,3000,M,2,ภาคตะวันตก,ดำ,Diesel,0
2690000.0,"BMW,X5",7500.0,2,1997,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
349000.0,"Honda,Jazz",2500.0,8,1497,A,5,กรุงเทพและปริมณฑล,ส้ม,Petrol,0
349000.0,"Mazda,2",2500.0,5,1299,A,5,กรุงเทพและปริมณฑล,แดง,Petrol,0
2090000.0,"Porsche,Cayenne",82500.0,8,2995,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
409000.0,"Toyota,Hilux",2500.0,4,2393,M,2,กรุงเทพและปริมณฑล,ขาว,Diesel,0
2490000.0,"Mercedes-Benz,E220",82500.0,4,1950,A,5,กรุงเทพและปริมณฑล,ดำ,Diesel,0
429000.0,"Toyota,Hilux",7500.0,4,2393,M,2,กรุงเทพและปริมณฑล,ขาว,Diesel,0
399000.0,"Honda,Civic",122500.0,8,1799,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
529000.0,"Toyota,Hilux",7500.0,5,2393,M,2,กรุงเทพและปริมณฑล,ขาว,Diesel,0
299000.0,"Nissan,Almera",37500.0,4,1198,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
559000.0,"Ford,Ranger",67500.0,2,2198,A,5,กรุงเทพและปริมณฑล,ขาว,Diesel,0
329000.0,"Nissan,Almera",17500.0,2,1198,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
309000.0,"Nissan,Almera",57500.0,2,1198,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
2800000.0,"Porsche,Cayenne",52500.0,8,2967,A,5,กรุงเทพและปริมณฑล,น้ำเงิน,Diesel,0
439000.0,"Isuzu,D-Max",197500.0,8,2499,M,5,กรุงเทพและปริมณฑล,เงิน,Diesel,0
599000.0,"Isuzu,D-Max",47500.0,2,1898,M,5,กรุงเทพและปริมณฑล,ดำ,Diesel,0
479000.0,"Toyota,Hilux",17500.0,1,2393,M,2,กรุงเทพและปริมณฑล,เทา,Diesel,0
435000.0,"Ford,Everest",177500.0,6,2499,A,7,กรุงเทพและปริมณฑล,ขาว,Diesel,0
419000.0,"Toyota,Hilux",67500.0,6,2494,M,2,กรุงเทพและปริมณฑล,ดำ,Diesel,0
329000.0,"Honda,Jazz",97500.0,6,1496,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
459000.0,"Toyota,Yaris",30000.0,1,1197,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
389000.0,"Honda,Civic",147500.0,8,1799,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
439000.0,"Isuzu,D-Max",152500.0,7,2499,A,2,กรุงเทพและปริมณฑล,เทา,Diesel,0
636999.0,"Subaru,XV",42500.0,4,1995,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
429000.0,"Mitsubishi,Pajero",42500.0,6,2351,M,7,กรุงเทพและปริมณฑล,ขาว,Petrol,0
469000.0,"Toyota,Hilux",42500.0,5,2393,M,2,กรุงเทพและปริมณฑล,ขาว,Diesel,0
219000.0,"Toyota,Corolla",42500.0,12,1598,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
1290000.0,"Mercedes-Benz,E300",112500.0,5,2143,A,5,กรุงเทพและปริมณฑล,เทา,Diesel,0
469000.0,"Honda,City",112500.0,3,1497,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
325000.0,"Honda,City",112500.0,7,1497,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
495000.0,"Toyota,Hiace",162500.0,11,2500,A,12,กรุงเทพและปริมณฑล,เงิน,Diesel,0
